Rank,Games Career,Games Team,Date,Team,Unnamed: 5_level_1,Opp,Result,DEC,MIN,Goals Against,Saves,Shots,Save Percentage,PIM,Games Played,A,PTS,Wins,GP,Goals Against Average,Win Percentage,Raw Score,Efficiency,Year
178,178,2,2010-04-16,NJD,,PHI,W 5-3,1-0-0,59:50,3,26,29,0.897,0,0,0,0,1,1,3.0,1.0,186.7,93.35,2010
179,179,3,2010-04-18,NJD,@,PHI,L 2-3 (OT),0-1-0,63:34,3,31,34,0.912,0,0,0,0,0,1,3.0,0.0,88.2,44.1,2010
180,180,4,2010-04-20,NJD,@,PHI,L 1-4,0-1-0,60:00,4,24,28,0.857,0,0,0,0,0,1,4.0,0.0,81.7,40.85,2010
181,181,5,2010-04-22,NJD,,PHI,L 0-3,0-1-0,56:43,3,18,21,0.857,0,0,0,0,0,1,3.0,0.0,82.7,41.35,2010
182,182,1,2012-04-13,NJD,@,FLA,W 3-2,1-0-0,59:39,2,24,26,0.923,0,0,1,1,1,1,2.0,1.0,190.3,95.15,2012
183,183,2,2012-04-15,NJD,@,FLA,L 2-4,0-1-0,58:44,3,20,23,0.87,0,0,0,0,0,1,3.0,0.0,84.0,42.0,2012
184,184,3,2012-04-17,NJD,,FLA,L 3-4,0-0-0,22:18,3,9,12,0.75,0,0,0,0,0,1,3.0,0.0,72.0,36.0,2012
185,185,4,2012-04-19,NJD,,FLA,W 4-0,1-0-0,60:00,0,26,26,1.0,0,0,1,1,1,1,0.0,1.0,200.0,100.0,2012
186,186,5,2012-04-21,NJD,@,FLA,L 0-3,0-1-0,58:21,2,30,32,0.938,0,0,0,0,0,1,2.0,0.0,91.8,45.9,2012
187,187,6,2012-04-24,NJD,,FLA,W 3-2 (OT),1-0-0,65:39,2,14,16,0.875,0,0,0,0,1,1,2.0,1.0,185.5,92.75,2012
188,188,7,2012-04-26,NJD,@,FLA,W 3-2 (OT),1-0-0,83:43,2,43,45,0.956,0,0,0,0,1,1,2.0,1.0,193.6,96.8,2012
189,189,8,2012-04-29,NJD,@,PHI,L 3-4 (OT),0-1-0,64:36,4,32,36,0.889,0,0,0,0,0,1,4.0,0.0,84.9,42.45,2012
190,190,9,2012-05-01,NJD,@,PHI,W 4-1,1-0-0,59:59,1,19,20,0.95,0,0,0,0,1,1,1.0,1.0,194.0,97.0,2012
191,191,10,2012-05-03,NJD,,PHI,W 4-3 (OT),1-0-0,77:21,3,25,28,0.893,0,0,0,0,1,1,3.0,1.0,186.3,93.15,2012
192,192,11,2012-05-06,NJD,,PHI,W 4-2,1-0-0,60:00,2,20,22,0.909,0,0,1,1,1,1,2.0,1.0,188.9,94.45,2012
193,193,12,2012-05-08,NJD,@,PHI,W 3-1,1-0-0,60:00,1,27,28,0.964,0,0,0,0,1,1,1.0,1.0,195.39999999999998,97.69999999999999,2012
194,194,13,2012-05-14,NJD,@,NYR,L 0-3,0-1-0,58:41,2,25,27,0.926,0,0,0,0,0,1,2.0,0.0,90.60000000000001,45.300000000000004,2012
195,195,14,2012-05-16,NJD,@,NYR,W 3-2,1-0-0,60:00,2,23,25,0.92,0,0,0,0,1,1,2.0,1.0,190.0,95.0,2012
196,196,15,2012-05-19,NJD,,NYR,L 0-3,0-1-0,59:37,2,19,21,0.905,0,0,0,0,0,1,2.0,0.0,88.5,44.25,2012
197,197,16,2012-05-21,NJD,,NYR,W 4-1,1-0-0,59:59,1,28,29,0.966,0,0,1,1,1,1,1.0,1.0,195.6,97.8,2012
198,198,17,2012-05-23,NJD,@,NYR,W 5-3,1-0-0,60:00,3,25,28,0.893,0,0,0,0,1,1,3.0,1.0,186.3,93.15,2012
199,199,18,2012-05-25,NJD,,NYR,W 3-2 (OT),1-0-0,61:03,2,33,35,0.943,0,0,0,0,1,1,2.0,1.0,192.3,96.15,2012
200,200,19,2012-05-30,NJD,,LAK,L 1-2 (OT),0-1-0,68:13,2,23,25,0.92,0,0,0,0,0,1,2.0,0.0,90.0,45.0,2012
201,201,20,2012-06-02,NJD,,LAK,L 1-2 (OT),0-1-0,73:42,2,30,32,0.938,0,0,0,0,0,1,2.0,0.0,91.8,45.9,2012
202,202,21,2012-06-04,NJD,@,LAK,L 0-4,0-1-0,59:55,4,17,21,0.81,0,0,0,0,0,1,4.0,0.0,77.0,38.5,2012
203,203,22,2012-06-06,NJD,@,LAK,W 3-1,1-0-0,60:00,1,21,22,0.955,0,0,0,0,1,1,1.0,1.0,194.5,97.25,2012
204,204,23,2012-06-09,NJD,,LAK,W 2-1,1-0-0,60:00,1,25,26,0.962,0,0,0,0,1,1,1.0,1.0,195.2,97.6,2012
205,205,24,2012-06-11,NJD,@,LAK,L 1-6,0-1-0,59:24,5,19,24,0.792,0,0,0,0,0,1,5.0,0.0,74.2,37.1,2012
